,job_description,job_location,job_title,sponsored
10,"$40,000 - $45,000 a yearDescription:Work within the Program & Management Analysis Department to assist in completing daily, weekly, and monthly analytical reportsCreate, perform, revise and present reports pertaining to financial, operational, and productivity auditsAssist in special projects assigned to the PMA Department by managementAssist in the management of the existing real estate portfolioWill work to constantly improve Microsoft Excel capabilitiesMarket research for new and existing Real Estate markets and business opportunitiesBench marking and analytics of overall pipeline of company revenue and profitUnderwrite and maintain cash flow projections for potential development opportunitiesComplete any other tasks assigned to you by your direct or indirect supervisorEducation:Bachelor's degree requiredJob Type: Full-timeSalary: $40,000.00 to $45,000.00 /yearExperience:Business Analysis: 1 year (Preferred)Education:Bachelor's (Required)Location:New York, NY (Preferred)Language:English (Required)Work authorization:United States (Required)","New York, NY",Business Analyst,False
11,"$65,000 - $80,000 a yearAs a Business Analyst, you will have a front row seat in seeing how businesses are built and grown. You’ll interact directly with our clients on gathering and documenting requirements and working with the team to guide clients through the entire product and technology life cycle.Our typical clients work with us on an ongoing basis, so you’ll get the thrill of seeing your work launch!If you get excited about building products that people love, this is the position for you! And for the career minded folks, this position can lead to a Product Management position and beyond!QUALIFICATIONS: BA or BS and a few years of experience in a business analysis or related positionPrevious experience or general exposure in one or more phases of product development (requirements, prototyping, wireframes, working with Dev/QA/Operations, testing) (1-3 years)Demonstrated history of taking ownership of problems and seeing them through to resolutionStrong analytical and communication skills (ability to communicate at all levels of management!)Highly motivated, proactive and detail orientedExperience with business, functional and non-functional requirementsExperience in Excel and/or Mechanical/Civil engineering is highly valuableAny client-facing experience is a plusJob Type: Full-timeSalary: $65,000.00 to $80,000.00 /year","New York, NY",Business Analyst,False
12,"$60,000 a yearPart-time, Temporary, ContractDS Technologies is looking for Entry Level Business Analyst to work at or client sites across the country. We also provide training as per the client needs and position requirements.Description: Support in requirements gathering processUnderstands and provides expertise in businesses processes as it relates to the use of the queuing systemDevelop flow diagrams to reflect client business processesBecome a product subject matter expert and support troubleshooting effortsInvestigates and utilizes new training mechanisms, tools, and tacticsWrite end user documentation and quick guidesAbility to think critically and develop innovative solutionsExceptional customer service skillsExceptional communication skillsAbility to work effectively with diverse personalitiesMotivated to learn and grow – self starterExperience developing documentation and flow diagramsIf interested please apply or refer someone. We also provide Referral Fee of $1000.Education: Bachelor’s (Required)Visa: Only GC EAD, H4 EAD, GC and Citizen.Location: ANYJob Types: Full-time, Part-time, Temporary, Internship, ContractJob Type: Full-timeSalary: $60,000.00 /year","Chicago, IL",Entry Level Business Analyst,False
13,"Quench USA, Inc. is a provider of filtered water systems, including bottleless water coolers, ice machines, sparkling water dispensers, and coffee brewers to approximately 40,000 institutional and commercial customers, including more than half of the Fortune 500. Headquartered in King of Prussia, PA, Quench has sales and service operations across the U.S. Quench is a subsidiary of AquaVenture Holdings (NYSE:WAAS), a multi-national provider of Water-as-a-Service™ solutions that provide reliable, cost-effective, and sustainable clean drinking and process water.
We are seeking a Business Analyst. The role requires strong analytical and communication skills. A successful candidate understands basic business KPIs, is able to learn service metrics, and has awareness of relational databases and SQL. A strong working knowledge of Excel (including Power Pivot, VBA, and Macros) is a must. This allows a successful Business Analyst to publish deliverables on time, and within design guidelines.
Essential Functions
Quickly and effectively create useful data deliverables as directed on a daily basis
Retain data in an organized fashion
Document parameters, data tool purposes, potential opportunities for improvement and next steps as needed
Compile large amounts of data in preparation for analysis.
Provide reliable, clear and concise reporting as needed.
Troubleshoot reporting inquiries
Establish and monitor standards for all reports, included update by request from audience and routine audit
Establish and evaluate goals for all field service operations employees
Manage and direct activities in order to meet goals and deadlines
Communicate clearly and effectively at all levels
Maintain daily focus on organization
Take thorough and detailed notes during meetings (planned or impromptu)
Maintain regular and reliable attendance
Qualifications
Education / Experience:
1-3 Years of data manipulation in a professional environment
Strong business acumen
Routine reporting experience
BA in Computer Science, Information Systems, Business Intelligence, or Business Logistics
Working knowledge of data related applications (Excel a must)
General:
Strong organizational skills,
Strong analytical skills – can translate complex problems into work-able solutions
Working knowledge of relational databases (SQL basics a plus)
Visual design skills
Ability to both work independently and to work as part of a team
Commitment to meet deadlines
Ability to organize, analyze, and present data
Able to quickly grasp business terms and capture in a form that gains user acceptance and be translated into testable technical solution
Salesforce reporting a plus


At Quench, there are plenty of opportunities for people who:
Communicate; collaborate; share ideas, successes and failures equally
Are dependable, committed, energetic and up-beat
Look to solve problems, go the extra mile, are team players
We call this “Quenchiness” - it’s rewarded openly and tangibly. We work hard while having fun every chance we get.
Quench offers competitive salary and benefits, performance bonuses, and incentive awards. We are proud to be an Equal Opportunity Employer.","King of Prussia, PA 19406",Business Analyst - Service Operations,True
15,"The primary responsibility of this position is to represent the business users and thoroughly test new system enhancements, document issues, and validate issue resolution. This position reviews, analyzes, and evaluates business systems and user needs. The position will also provide input into new business requirements for new improvements.
Testing of new features and fixes related to systems supporting authorization processing and utilization management.Thinks through test scenarios, develops appropriate use cases/test plans, and helps prepare test data.Represents the user community, contributes ideas for system improvements and assists with requirements.Coordinates closely with the Quality Assurance team.Supports management in the resolution of production issues.Identifies and manages issues that may impact project quality and timeliness.Provides support to end users as needed.This position requires the ability to create test plans and analyze test scenarios.Requires the ability to make or recommend business decisions based on data analysis.Must be able to interact with all levels and facilitate group discussions to promote consensus.Must perform other duties as required or assigned.
Bachelor's Degree preferred. A combination of education and significant experience may be substituted for degree requirement.At least two years of experience in a medical authorization processing environment.At least two years of previous User Acceptance Testing or Quality Assurance testing experience preferred.Thorough knowledge of Home Health and Managed Care industry.Excellent process development and problem resolution skills.Detail oriented, logical thinker, strong organizational skills, ability to prioritize and manage multiple priorities.Analytical and problem-solving skills along with strong written and oral communication & presentation skills.Must be proficient with CareCentrix systems (i.e. Portal, Queue Manager, Intake 98, eligibility) and the MS Office Suite.

CareCentrix maintains a drug-free workplace in accordance with Florida's Drug Free Workplace Law.
PI104898058","Hartford, CT 06103 (Downtown area)",Business Analyst - UAT,True
16,"ERIEZErie, PAIT Business AnalystDESCRIPTIONYour main tasks will include performing detailed requirements analysis, documenting processes, and performing some user acceptance testing. To succeed in this role you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.This person will generate business requirements and designs business processes related to all aspects of the business on an ongoing basis. The Analyst will work within all departments of the business that are involved with using the ERP and other related software systems. They will help to identify opportunities for efficiency gains and generate initial documentation along with ongoing documentation of those processes. Will analyze current processes and map them to the software system. Will monitor the feature enhancements of software as upgrades are rolled out and re-evaluate processes as fit to match the new functionality.DutiesEvaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up-to-date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Documenting and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with end users, technicians, and managerial staff.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Managing projects, developing project plans, and monitoring performance.Updating, implementing and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.Analyst Project ResponsibilitiesPossess analytical skills to be able to solve problems that may come up during a typical work day. You will be analyzing data and making decisions that affect projects on a regular basisYou will be working with employees, vendors and management, often spinning multiple plates at onceMeasure systems performance using appropriate systems, tools and techniquesCreate and maintain comprehensive project documentationCreates and maintains the project development methodology and related standards. Ensures that application, data and infrastructure architectures are documented and that updates are applied to these architectural documents as changes are made.Develops business systems and technology standards in accordance with architecture decisions to ensure business and IT developer productivityContributes to the development and evolution of technical standards, and operational processes and policies of the IT department; trains staff on their use and ensures their use in the support and development activitiesREQUIREMENTSA bachelor’s degree in business or related field or an MBA.Exceptional analytical and conceptual thinking skills.The ability to influence stakeholders and work closely with them to determine acceptable solutions.Advanced technical skills.Excellent documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports and giving presentations.Competency in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments.Excellent planning, organizational, and time management skills.Job Type: Full-timeExperience:business analyst: 1 year (Preferred)Education:Bachelor's (Required)Work authorization:United States (Required)","Erie, PA",Business Analyst,True
18,"The Meditech Business Analyst will be part of a team responsible for all aspects of IS project governance, assessment, management and control. The Meditech Business Analyst will contribute to varying tasks, performing duties associated with eliciting and developing high-level business requirements for IS Systems. The Analyst will work with stakeholders and system users to document requirements, and develop related documentation (including System Implementation Packages (SIPs), Meditech and Network applications). The Analyst will also be responsible for administration/logistics associated with system requirements/implementation, meetings, including developing agendas and presentations. In many cases, the Analyst will assist the customer with retroactively developing system documentation for existing systems to satisfy audit/compliance requirements.
Reviews, analyzes, and evaluates MediTech and Network business systems and user needs.
Conducts needs analysis, documents requirements, and revises existing system logic as necessary.
Develops and Facilitates system testing.
Creates and updates system documentation including desktop manuals
Researches and documents requirements, evaluates scenarios, and executes changes needed to respond to requirements.
Identifies test scenarios, develops test scripts, and creates expected results for use in test cycles.
Summarizes and communicates testing outcomes in meaningful ways.
Acts as liaison among clients, operations, and technical staff.
Collaborates with clients and other technical teams as assigned.
Analyze and evaluate existing or proposed business systems and processes to identify and implement improvements and opportunities to meet business unit objectives in large to enterprise wide processes.
Create user stories/use cases, process & data flows and scenarios in order to clearly communicate a set of functional requirements.
Provide input and support the development of business and functional specifications. Document to ensure business requirements are adequately reflected in development documents.
Conduct workshops with multiple stakeholders from communication, technology, business and vendor teams. Concisely document their outcome. Gather data and business system requirements via phone, E-mail, Web and onsite requirements gathering sessions.
Resolve business problems for internal and external customers by utilizing problem solving and analytical skills and documenting the ""why"" and ""what"" of the business problem.
Understand industry trends and educate the users in those changes and suggests applicability to solve business problems. Draw on experience from various industries.

Job Requirements
Minimum Education:
Bachelor’s degree in Business, Computer Science, MIS, or BCIS preferred.
High School graduate or equivalent required with 3+ years of experience in IS Business Analyst or equivalent and project management, preferably healthcare.
Strong written and verbal communication skills.

Minimum Experience/Skills:
Able to perform basic mathematical calculations
Agile experience, exceptional communication skills (written and oral), and a broad range of IT knowledge/experience is required. Flexibility is a must, as well as the ability to work in a collaborative team environment.

Physical Demands:
Lifts, positions, pushes up to 20 pounds
Considerable sitting, reaching, stooping, bending, kneeling, crouching
Touch, auditory and visual perception and acuity
Adequate vocal pitch and volume of voice
Manual dexterity and mobility
Ability to move quickly

Vision Requirements:
Ability to adjust vision sufficiently to perform duties

Working Conditions:
Subject to varying and unpredictable situations
Subject to irregular hours
Ability to Multi Task is essential

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

EOE/Vet/Disability","Oakdale, CA 95361",MediTech Business Analyst (Oakdale),True
19,"Primary PartnerCare has been building its proprietary physician-patient platform for the last 4 years, and has over 250 current users. We are looking for a seasoned, confident Healthcare Business Analyst to work with the management team and founders to develop business specifications and functional requirements for continuous product enhancement and growth. We know our work helps doctors and their patients experience a higher quality of life. If you understand managed care concepts, and want to be part of a team making smart technology for physicians and their patients to succeed under the new models of healthcare in America, please join our team! Serve as the subject matter expert (Population Health, Eligibility, Claims, Physician Performance Metrics, Quality Reporting) on the assigned function product to ensure operational performanceDeliver detailed requirements. Serve as the liaison between the customer/user community and development team to gather, analyze, interpret, clarify, and develop business requirements on the assigned projects and validate and ensure that the project is meeting the requirements during each phaseCreate functional specifications and user stories that accurately communicate the needs of the users to the development teamDevelop and maintain a variety of documents including project charter, ROI analysis, business requirements, specifications, roadmaps, and other business documentation as required by the departmentSupport Support business initiatives through data analysis, identification of implementation barriers and user acceptance testing of various systemsLiaise with physician clients and management team to gather users ""wish list"" of product enhancementsPartner with software development team and ensure business requirements are provided to them and understood as an input for their technical documentation and collaborate with them throughout project life cycleDevelop and deliver release notes and training materials and programs for new functionalityDiagnose problems and identify opportunities for process redesign and improvementFormulate and update departmental policies and proceduresMinimum Education: Bachelor's degree required, advanced degree preferred.Minimum Experience: Five (5) or more years’ experience in healthcare, preferably in a healthcare insurance company or a sophisticated ACO/IPA/Medical Group operational setting. Knowledge of HIPAA compliance issues is vital. At least five (5 ) years related experience managing small, medium projects, where you were the technical expert, and lead on key domain knowledge. Strong domain knowledge related to claims data, eligibility/attribution, healthcare analytics, and physician performance metrics. Must have strong working knowledge of MS Word, Project Management Software (we use Atlassian JIRA), MS Excel, and Visio. Two (2) years+ experience technical writing for software product. Healthcare data warehouse experience highly preferred.Job Type: Full-timeExperience:Managed Care or ACO/IPA Operations: 5 years (Required)Business Analysis: 3 years (Required)Visio: 2 years (Preferred)Excel: 5 years (Preferred)Project Management Software: 2 years (Preferred)Gathering Requirements: 3 years (Required)Technical Writing: 3 years (Preferred)Education:Bachelor's (Required)Location:Great Neck, NY (Preferred)Work authorization:United States (Required)","Great Neck, NY",Business Analyst - Healthcare Technology,True
20,"Full Time: M-F 8-5Reports to Operations ManagementLocation: Chico, CAWorks on cross-functional teams; is regularly engaged in meeting daily production goals, and developing and delivering new initiatives with Engineering, Manufacturing, Quality Assurance, Accounting, Sales and Marketing DepartmentsDuties will include project leadership, business analysis, process installation and improvement, plus contract compliance reporting to tier one clients and distribution partners. Also a temporary backup for AR/AP processing, and inside sales administration.Employment Standards: RequiredAt least two years full time job experience in similar position(s)Advanced Microsoft Office Suite skills required (Excel, Word, Power Point); all final applicants should expect to be testedUser/Administrator experience with SalesForce.com, FishBowl, Quickbooks or equivalent cloud-based apps commonly used in businessExcellent verbal and written B-2-B communication skillsPreferred ExperienceInside sales/order processingSocial media content creation and managementEducation: Bachelor’s degree in Business Administration, Accounting, Entrepreneur, Finance, Operations Management, Project Management, Marketing, Supply Chain, Management Information Systems, Economics, Enterprise Information Systems, Information Technologies, Math, Mechatronic Engineering, Industrial Engineering, Ops & Supply Chain Management, Professional Sales, Statistics, or other relevant studiesOther RequirementsPost offer/pre-employment criminal background and drug screen requiredMust have own transportation to and from office: 95% of worktime on-siteAble to legally work in the USACompensation Package:  Base salary commensurate with experience, Medical/Dental/Vision (partial contribution plans), 401K, PTO, Paid HolidaysRescue 42, Inc. is an Equal Opportunity EmployerJob Type: Full-timeExperience:business analyst: 2 years (Required)Education:Bachelor's (Required)Location:Chico, CA (Required)Work authorization:United States (Required)","Chico, CA 95973",Business Analyst,True
21,"Business AnalystGreat vacations begin with great employees!Combine your experience and sense of adventure by joining our exciting team of employees in Springfield, Oregon. Royal Caribbean Cruises Ltd. is pleased to offer a competitive compensation & benefits package, and excellent career development opportunities, each offering unique ways to explore the world.Position SummaryThe Operations Support plays a key role in our efforts by providing data and decision support to the organization including Trade Support & Service. Operations Support is responsible for both strategic and tactical initiatives related to data automation and decision support.Career SnapshotResponsible for the gathering, analysis, and interpretation of data. Develop, Implement and enhance high impact business process improvement projects. Provide information and recommendations to leadership on both regular and ad-hoc basis. Prepares regular reports sent to management.Ensures that our information systems and resources are optimally aligned to support our business objectives. Develop productive working relationships with all Trade Support and Service Managers, Directors and above.Analyzes data and assists with monthly presentations that are sent to senior management. Responsible for making decisions and ensuring departmental metrics are met. Communicates with other departments to assure that departmental policy changes or projects that will affect processes are identified and solutions are created.Performs other duties as required. This job description in no way states or implies that these are the only duties to be performed by the employee occupying this position. Employees will be required to perform any other job-related duties assigned by their supervisor or management.RequirementsBachelor’s degree (BA) from four-year college or university or equivalent work experience required.Two to four years related experience in financial / business analysis or related field preferred.Master of Business Administration (MBA) or master’s degree (MA) preferredFamiliarization with reservation call center operations concepts and tools preferred but not required.Previous experience with Sales or Marketing preferred but not requiredAnalytical skills to interpret data trends.The responsibilities and level of supervision required will vary based on individual job performance.Excellent knowledge of Microsoft Word, Excel, and PowerPoint required.Knowledge of Hyperion, SQL, Power BI, Access, Microsoft Project, Visio, Lotus Notes, and the AS400 or equivalent mainframe reservations system strongly preferred.Must be detail oriented to ensure accuracy in data, analysis and visualization.Ability to effectively present information to executive management and public groups.Ability to work, interact, and communicate with external / internal customers at all levels.Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.Ability to define problems, collect data, establish facts, and draw valid conclusions.Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.BenefitsMedical, Dental and Vision start on day oneComplimentary Employee Cruise after your first year of serviceOpportunities for GrowthEducation ReimbursementFree On-Site gymJoin us at Royal Caribbean Cruises Ltd., where great vacations begin with great employees!RCL is an Equal Employment Opportunity employer.Job Type: Full-timeExperience:Business Analysis: 2 years (Preferred)Work authorization:United States (Required)","Springfield, OR",Business Analyst,False
22,"$50 - $55 an hourContractJob SummaryAs an Agile BA, you will: Work closely with Product Owner and/or business architect to understand project scope and prioritiesWork with the business product owners, business architects, and other product team members to document and groom product features, user stories, and acceptance criteria in an agile development environmentDocument existing functionalityIdentify and resolve missing requirements.Coordinate with scrum team and technical leads to prioritize scope, objectives, and constraints for development sprintsIdentify design needs and coordinate with UX teamMentor developers on how things work in the business domainWork ahead of the team to have stories “groomed” and ready for discussion before the next iteration or reviewAssist with QA and UAT testingBe liaison with development team, application teams, customer service and business stakeholdersResponsibilities and DutiesRequired Knowledge, Skills and Abilities* Experience in creating user stories* Understanding of how to write business requirements that include detailed acceptance criteria and feed clearly into quality assurance testing* Highly organized with attention to detail* Highly skilled at collaborating with business, development and testing teams* Knowledge of JIRA* Excellent Microsoft word, excel, PowerPoint skills* Strong soft skills – leadership – communication – facilitation – working with many different stakeholders with conflicting requirements and needs* Flexible and adaptable to dynamic environmentJob Type: ContractSalary: $50.00 to $55.00 /hourExperience:agile business analyst: 4 years (Required)General Insurance: 4 years (Required)","Jersey City, NJ",Agile Business Analyst,False
23,"ContractBusiness Analyst with to help support Cash reconciliation team3-6 yrs of experienceNeed to understand corporate loan especially syndicated oneStrongs skills in data crunching (incl excel ; sql data base creation)Knowledge of ACBS is a plusThis is a Contract role in NY city.Job Type: ContractExperience:Business Analysis: 5 years (Preferred)Location:New York, NY (Preferred)Work authorization:United States (Preferred)","New York, NY",Business Analyst,False
