,text
135,"Aligned Development Strategies, Inc. is looking for a talented Business Analyst / Tester to join our team in Washington, DC.Roles and Responsibilities for this candidate are:- Perform requirements gathering & translate them into detailed functional and/or technical specifications- Work closely with the developers to ensure requirements are understood and implemented correctly- Ability to document tasks and track them to completion- Perform integration testing and section 508 testing- Should possess graphics design knowledge- Should possess excellent written and oral communication skills- Knowledge of eLearning Course Development is a plus- Knowledge of Adobe Captivate or Storyline is a plus- Should be a team playerOur office is located near Farragut West or Farragut North metro station.Job Type: Full-timeExperience:Business Analysis: 2 years (Preferred)Location:Washington, DC 20036 (Preferred)Work authorization:United States (Required)"
136,"Performs analysis of design documents by identifying testing needs, design test cases, run tests, and document test results on subsystems of the large complex Medicaid Systems (MS). Direct staff in supporting QA functions during the duration of project or assignment. Supports customer during User Acceptance Testing. Performs other duties as assigned.




JOB DUTIES:




50% - Essential - Quality Assurance Lead Analyst:
Plans, leads and engages in identifying requirements, set project schedules and implement in to the production environment by collaborating with QA Manager, Development Team Leads, and users. Coordinate the systems testing life cycle for projects assigned to her to include quality assurance tasks and deliverables, i.e, testing, defect management, defect reporting, etc. Supervises and directs the work of QA testers assigned to major projects. Oversees, the tickets for the project and assigns to QA Testers. Leads QA testers in the creation and execution of test scenarios to ensure proper system operation and freedom from defects. Sets priorities and deadlines.

20% - Essential - System, Integration and Unit Testing:
Coordinates with the QA Manager the creation and execution of procedures that meet the agency standards. Analyze business needs, determine requirements, create, and execute text scenarios to ensure proper system operation and freedom from defects. Define, setup, and populate test databases to perform required tests. Test, evaluate, and approve software for compliance with departmental and project standards. Makes system presentations and progress reports to customers and management.

20% - Essential - Project Management Support:
Works with the Project Manager, User Acceptance Test Lead, and Project team to troubleshoot and resolve problems as they are encountered. Resolves minor conflicts that occur and affect QA Testers assigned to her testing team. Documents and reports the issues and resolutions to the QA Manager. Provides estimates on the amount of analysis and testing effort needed based on requirements. Updates/add QA Resources tasks in Timekeeping system.

5% - Essential - Oncall Support:
Participate in the testing efforts needed in order to resolve production problems after normal office hours
as part of the on-call rotation support. Meet with other technical staff on standards committees for all database management software products. Propose new standards and changes to current standards to improve the quality of software products for the MS systems.

5% - Essential - Training:
Cross-training staff in QA and business related subject matter. Provides training and support for customers and staff. Shares policy, system, and technical knowledge with other employees. Assists others in resolving problems.




MINIMUM REQUIREMENTS:




A high school diploma and experience in computer system development and modification. A bachelor's degree in a related area may be substituted for the required work experience.




RESPONSIBILITIES




JOB KNOWLEDGE
Firm Job Knowledge - Firm working knowledge of concepts, practices and procedures and ability to use in varied situations

SUPERVISORY RESPONSIBILITIES
Supervises Work of Others - Supervises work of others and may offer recommendations for hiring, termination and pay adjustments but does not have responsibility for making these decisions.

BUDGETARY RESPONSIBILITIES
No Budget Responsibilities - No fiscal responsibility for the department's budget.




WORK SCHEDULE:




Standard Hrs: 37.5; Band: 06 ($ 54,000.00 - $ 67,100.00)




JOB LOCATION:




Clemson, SC




APPLICATION DEADLINE:




October 30, 2018




CLOSING STATEMENT:




Clemson University is an AA/EEO employer and does not discriminate against any person or group on the basis of age, color, disability, gender, pregnancy, national origin, race, religion, sexual orientation, veteran status or genetic information. Clemson University is building a culturally diverse faculty and staff committed to working in a multicultural environment and encourages applications from minorities and women."
137,"Job Id: REQ20017510Advance your career with the company that makes it easier for people to choose better health.Express Scripts is a leading healthcare company serving tens of millions of consumers. We are looking for individuals who are passionate, creative and committed to creating systems and service solutions that promote better health outcomes.POSITION SUMMARYThe Business Analyst role is the primary architect of reporting and dashboard solutions for assigned business units. Utilizing ESI development tools, this position is responsible for the design, development, implementation, analysis, interpretation and communication of business information based on the needs of individual clients.The ability to balance overall aesthetics with robust and intuitive functionality is a critical requirement for success in this position.QUALIFICATIONSBachelor’s degree or 8-11 years relevant work experience2-5 years relevant analyst experience.Analytical and strategic thinking skills.Able to quickly learn how to use new software applications.Strong organization and communication skills (oral and written)Analytical and detail-oriented in all work activities.Able to handle and prioritize multiple projects or tasks at a time.Able to work cross-functionally and solve complex problems.Demonstrated ability to design, develop, and maintain relational databases preferred.Demonstrated knowledge writing SQL queries.Knowledge of one or more query design tools (i.e., Microsoft SQL Server Management Studio, Teradata SQL Assistant, Oracle SQL Developer, etc.).Knowledge of one or more ETL (Extract-Transform-Load) tools a plus (i.e., Microsoft SQL Server Integration Services, Informatica, Ab Initio, Talend, etc.).Skills in query tuning and overall efficient use of database resources preferred.Experience with Hadoop and other Big Data tools (such as Hive, Spark, SQOOP, etc.) a plus.Experience with ""semantic-layer"" tools (such as Business Objects, Cognos, or SQL Server Analysis Services) a plus.Experience with metadata catalog tools (such as Alation) a plus.Knowledge of Pharmacy Benefit Management (PBM) concepts and business processes a plus.Join the company that Fortune magazine ranked as one of the ""Most Admired Companies"" in the pharmacy category. Then, use your intelligence, creativity, integrity and hard work to help us enhance our products and services. We offer a highly competitive base salary and a comprehensive benefits program, including medical, prescription drug, dental, vision, 401(k) with company match, life insurance, paid time off, tuition assistance and an employee stock purchase plan.Express Scripts is an equal opportunity employer/disability/veteranJob Type: Full-time"
138,"Looking to join a team of brilliant people that are all working towards one goal: making our software the #1 choice in our market? We’re an established, fast-paced, award winning software development company never satisfied with the status quo. Innovation, legendary client service and a close knit community describe our culture. We are seeking a Business Analyst - Software Developer to be responsible for ensuring excellence throughout ImageTrend software as we strive to become to the only obvious choice in our market space.
We offer a comfortable, informal, yet fast-paced community of people who like to get stuff done. Open work environments, cozy meeting areas and unlimited snacks and tap beverages get you through the day. We recognize accomplishments by offering growth opportunities, embracing work/life balance and providing an outstanding benefits package.
Duties:
Become an expert in all of ImageTrend's applications and partner with internal subject matter experts within the organization and external users and stakeholders to maintain and help drive future product directions.
Work with the Product and Engineering teams to define business & functional requirements, designs, and stories, including driving internal working sessions across the teams.
Work with customers to gather, understand, and document requested product enhancements.
Ability to blend differing needs of clients in a feature area into a comprehensive solution that encompasses their needs, and creates a competitive advantage in the market.
Present feature requirements, design, and stories to internal/external stakeholders.
Perform analysis of alternatives, provide recommendations, and generate innovative ideas to resolve problems
Strong presentation skills with ability to communicate complex technologies in a simple manner to non-technical clients in a small group setting, and in a conference forum
Work closely with the product management and engineering teams to assure a timely solution according to the specifications, project plans and implementation of business needs.
Handle complex issues and discrepancies of opinion among stakeholders to negotiate a resolution and set the priorities.
Develop and maintain a repository of product documentation to be shared with the stakeholder community, including requirements documentation, use cases, UI mock-ups, test cases, and requirements.
Provide training to user/stakeholder community, when appropriate
Able to respond to functional and technical elements of RFIs/RFPs.
Qualifications:
Bachelor’s degree in the sciences or equivalent technical experience
2+ years of relevant experience as a Business Analyst
Identifying and defining business and functional requirements, use cases, and stories
Experience with software development projects and methodologies
Excellent verbal, written, interpersonal, and presentation communication skills to effectively interact with all levels of the organization
Attention to detail, good organizational skills, and ability to handle tasks of high complexity
Ability to influence change within the organization
Independent, self-directed and responsive problem solving and troubleshooting skills
Ability to resolve and remove obstacles to a project’s completion
Proven track record of delivering quality products within aggressive timelines
EEO/AA"
139,"Job Title: Senior Business Analyst

Join us as we build a next-generation analytics platform to serve our world-class agents. As a Senior Business Analyst, you’ll help build a platform of robust analytics features that lay the foundation for optimizing agent and broker productivity that bring Realogy’s renowned real estate brands into the next era of data-driven excellence.

What we’re looking for:
We are seeking a highly motivated Agile Senior Business Analyst to join our Data team. This individual will possess a strong understanding of business analysis and analytics technology, and have a proven track record of defining and driving technology-based solutions to implement strategic solutions that bridge the divide between business and technical knowledge.

What you’ll do:
As a Senior Business Analyst, you’ll elicit and evaluate business requirements for delivering new or enhanced software systems, appropriately document system requirements, and measure the success of the resultant initiatives.

You will:
Grow into a trusted partner of our Strategy organization and Business Units, coming prepared to the conversation by knowing your partners’ pain better that they do
Partner with cross-functional teams to analyze, decompose and map current state processes and pain points, then determine improvement opportunities including creation of target operating models. You are a listener but not a note taker.
Drive ideation and new solution thinking to delivers significant net new business value to partners
Strive for industry disruption and moonshot initiatives that differentiate Realogy offerings from currently existing ones
Take ownership to lead solutions from concept to implementation by partnering with technology and business organizations to ensure requirements are satisfied and delivered on time
Build and develop business relationships vital to project success
Deliver effective presentations of findings and recommendations to multiple levels of stakeholders
Work with business product owners to facilitate creation and maintenance of Product Roadmaps and Backlogs
Collaborate and communicate with stakeholders, developers, designers and technical team members
Work with development teams to prioritize agile/scrum backlogs, assuming responsibility for delivery of business value to a portfolio of business partners, as measured by key performance indicators (ie: GCI, EBIDTA,etc).

Skills, accomplishments, & interests you should have:
BA/BS degree in Information Systems, Computer Science, or a related discipline
3+ years’ experience as a Business Analyst
Hands-on experience in a Scrum Agile development environment
Demonstrated experience identifying solutions using standard analysis techniques such as business process and information modeling, root cause analysis, use case analysis, workflow analysis, functional decomposition analysis, process map creation, etc.
Experience in facilitating the solicitation and evaluation of business requirements for delivering new or enhanced software systems, and measuring the success of the associated initiatives
Strong problem-solving and structuring skills, with ability to bring actionable insights through effective communication
Experience working with diverse set of senior stakeholders on requirements, roles and responsibilities, project timelines
Ability to independently and quickly ramp up on new business and technical concepts
Demonstrated passion for developing and overseeing strategic solution execution
Ability to work independently as well as in team environment, providing structure in ambiguous situations
Proficient in JIRA, Visio, MS Excel, PowerPoint and other Office applications
Nice to haves:
PMI-PBA or CBAP Certification is a plus
Here at ZapLabs, we love to celebrate and share with one another—from volunteering and having pizza movie nights to playing on our company sports teams and hosting our annual baking competitions and international potlucks.

#LI-LY1
HTF1
Employment type
Full-time
Company
ZapLabs LLC
About us
ZapLabs (www.zaplabs.com) is the innovation and technology hub for global real estate leader Realogy Holdings Corp. (NYSE: RLGY), and the driving force behind inventive technology for brokers and agents affiliated with Realogy’s world renowned real estate brands. ZapLabs delivers its highly effective consumer, sales associate and broker solutions in support of Realogy’s leading franchise brands and is positioned to expand the scope of its technology development efforts to encompass Realogy’s other business segments, including residential brokerage, relocation and settlement services. ZapLabs is headquartered in Emeryville, California.
EEO statement
EOE AA M/F/Vet/Disability"
140,"Aligned Development Strategies, Inc. is looking for a talented Business Analyst / Tester to join our team in Washington, DC.Roles and Responsibilities for this candidate are:- Perform requirements gathering & translate them into detailed functional and/or technical specifications- Work closely with the developers to ensure requirements are understood and implemented correctly- Ability to document tasks and track them to completion- Perform integration testing and section 508 testing- Should possess graphics design knowledge- Should possess excellent written and oral communication skills- Knowledge of eLearning Course Development is a plus- Knowledge of Adobe Captivate or Storyline is a plus- Should be a team playerOur office is located near Farragut West or Farragut North metro station.Job Type: Full-timeExperience:Business Analysis: 2 years (Preferred)Location:Washington, DC 20036 (Preferred)Work authorization:United States (Required)"
141,Contract2+ years of exp in ALM - Application life cycle ManagementJob Type: Contract
142,"With Sports viewership shifting - teams, broadcasters and leagues and their sponsors are struggling to measure the multi-channel media value they are creating. GumGum Sports is at the cutting edge of solving this problem for the $60B sponsorship industry.

GumGum Sports seeks an enthusiastic and results-driven Business Analyst to help major sports teams and their sponsors get the most out of our social media sponsorship measurement & valuation platform.
This role will be based in Los Angeles and reports to the Manager of Sports Operations.
Responsibilities:
Apply your expertise in data analysis and visualization and tell a story with actionable insights to the world’s top professional teams, brands, and leagues.
Conduct customer and industry benchmark analysis
Identify and interpret macro trends and patterns in datasets
Work with sales and product and suggest improvements that could be made to product or service
Identify best practices for a team, league, or brand to best improve the value of its sponsorships during sporting events
Work closely with the major social media platforms to review content posted on client owned-and-operated platforms
Requirements:
2+ years of relevant experience in management consulting, FP&A, data science, business analytics or similar role
Comfortable taking raw data, gathering insights and presenting to internal and external stakeholders
Proficient in Microsoft Office and Google Slides
Advanced Excel and/or Google Sheets skills including pivot tables, functions, charts
Experience with data visualization tools (i.e. Looker, Tableau, etc.)
Capable of handling multiple projects in a fast paced environment
Work collaboratively with people at all levels
Must be detail-oriented, organized, and a self-starter that can independently manage the workload of his or her own clients
Passion for sports and past experience working in the sports industry is a plus
Perks:
Stock options
401k, medical/dental insurance
Reimbursement for gym membership
Monthly happy hours and annual all-hands trip"
143,"We are offering full-time positions to highly-motivated, tenacious career-seekers at our company headquarters in San Antonio.

Business Analysts spearhead Labatt’s many continual improvement efforts by identifying problems and opportunities, making detailed assessments through interviews and quantitative analyses, working with internal software developers to codify robust, standardized processes and tools, and finally by working with business people to drive cultural and procedural changes. Business Analysts at Labatt follow our own specialized change management methodology that gains its inspiration from the tenets of Lean and Six Sigma as well as the philosophies of Demming and Drucker. By interfacing extensively with executives, operational managers, employees, engineers, vendors, and customers, Analysts are truly poised to gain dramatic insight into the food industry at large, and more importantly, into Labatt’s highly differentiated poise within the industry.

As an Analyst at Labatt, you will:

-Manage software development processes using Lean Startup and Agile methodologies-Aid in crafting and executing strategic initiatives-Solve some of the industry’s and our company’s hardest problems-Communicate excellently, assessing problems both abstractly and concretely-Analyze, and help the organization digest, large sources of data with untapped potential-Set individual and team goals and demonstrate the resourcefulness to achieve them-Hold yourself and your teammates accountable to achieving robust success-Live by a philosophy of genchi genbutsu-Learn continuously, through training, mentoring, and a strong culture of high-level reading
Your direct manager is a corporate-level executive in one functional area of the business. Analysts who succeed at Labatt will settle for nothing less than the best, and have demonstrated this disciplined, accountable focus time and again in previous experiences, whether academically or at the workplace. A competitive undergraduate degree with outstanding marks is required. The Analyst position demands core values that constitute our company culture, including: a strong focus on excellence, hard work, integrity, teamwork, and customer-orientation.
Here is the link to our online application: http://apply.labattfood.com/"
144,"Auto-Owners Insurance, a top-rated insurance carrier, is seeking an entry-level motivated Business Analyst to join our team. The position requires the following, but is not limited to:
 Develop business requirements and related business rules based on business decision.
 Work closely with the business subject matter experts in the definition, training, implementation, and support of business requirements
 Define requirements through interviews, workshops, surveys, and existing system documentation or procedures.
 Evaluate information gathered from multiple sources and translate high level information into details.
 Act as liaison between the business and technology teams.
 Work with software tools to gather and document requirements and rules.
 Perform high level testing in coordination with the detailed testing by quality assurance teams.
 Organize and lead meetings with business, technology, and quality assurance teams.
Desired Skills & Experience
 Bachelor’s degree or equivalent experience
 Above average communication skills (written and verbal)
 Strong analytical skills with the ability to learn business processes
 Ability to utilize a PC and applicable business software
 Competency to learn new software tools
 Organize and interpret data
 Ability to handle multiple assignments
Benefits
Competitive salary, matching 401K retirement plans, fully-funded Pension plan, bonus programs, paid holidays, vacation days, personal days, paid sick leave, and a comprehensive health care plan.
Please note that the ability to work in the U.S. without current or future sponsorship is a requirement.

Company Description

Auto-Owners Insurance is a mutual insurance company made up of five property and casualty companies and one life/health/annuity insurer. Established in 1916 and headquartered in Lansing, Michigan, we currently operate in 26 states. Our written premium is nearly $6 billion, and we are proud to have been ranked among the Fortune 500 every year since 2002. Auto-Owners continues to be recognized for exceptional financial strength and stability among the nation’s largest insurers. We partner with independent agencies that sell our products and are consistently acknowledged for our superior customer service to our agents and our policyholders.
Auto-Owners offers a wide range of career opportunities, and we are seeking talent that will help us continue our long tradition of success. We offer a friendly work environment, structured training program, employee mentoring and an excellent compensation/benefits package. Along with a competitive base salary, matched 401(k), fully-funded pension plan (once vested), and bonus programs, Auto-Owners is also committed to a work/life balance and provides generous paid time off including holidays, vacation days, personal time, and sick leave. If you're looking to do rewarding work alongside great people, Auto-Owners is the place for you!"
145,"$52,500 a yearStudent Business Services seeks a Business Analyst Associate for various reporting and University systems and business maintenance needs. Duties will include, but are not limited to, assisting in the development, implementation, operation and maintenance of computer and business systems to meet departmental and University requests. The ideal candidate will have a background working in a fast-paced environment supporting multiple projects at the same time, and has experience working with PeopleSoft or a similar student account information system."
146,"$35 - $55 an hourContractIMMEDIATE NEED - Looking for 3 GREAT Business Analysts with experience in corporate online banking platforms such as S1, ACI, Fiserv, Fundtech, Bottomline. We are not so much interested in BAs who know how these systems work. We need BAs who understand the nuances of corporate functions such as International/Foreign Exchange wires, ACH, Positive Pay, etc. Proficient in functional specification writing and use case creation is a MUST!Location: Remote (prefer metro-Atlanta, GA area)Must be have the ability to work remoteMust be able to work in the US (sorry No Sponsorship/Green cards)Must be available to start IMMEDIATELY (within 1 week, if possible)Travel: First 1-2 weeks in Buffalo, NY for training, on-boarding and possibly during deployments; Remote afterwardsMust be able to communicate effectively (written and verbally) with all levels of the IT team and managementCONTRACT ONLY (1099, no W2)Duration: 12 months (with possible extension)Job Type: ContractSalary: $35.00 to $55.00 /hourExperience:Bottomline Digital Online Banking: 1 year (Preferred)Positive Pay: 1 year (Preferred)Business Analysis: 2 years (Preferred)International/Foreign Exchange Wires: 1 year (Preferred)Online Banking: 1 year (Preferred)ACH: 1 year (Preferred)Location:Atlanta, GA (Preferred)Language:English (Required)Work authorization:United States (Required)Required travel:25% (Required)"
147,"$45,324 - $110,770 a yearAs a Mid-level Business Analyst, you will solicit, understand, and document the customer's User Stories, processes and workflows. You will also work with developers to create the functional specifications that meet those requirements, serve as a subject matter expert to the developers building those functions, and work with the QA team to test the developed functionality. This role works closely with other BAs, Developers, Testers, and Production Support through each stage of the software development lifecycle and also demonstrates both existing and new functionality to the customer stakeholders.

Principal Responsibilities:
Deliver precise functional specifications to include functional hierarchy, workflow, business rules, interface design and definitions, outstanding issues, data analysis, and data mapping to clients and development staff.Be responsible for direct interaction with clients including, but not limited to, eliciting comprehensive User Stories and recommending appropriate solutions.Help build and document specifications for development.Update and maintain Requirements Traceability Matrix.Conduct gap analysis between application and stated customer requirements and collaborate with Architects and Developers to estimate project impact.Work with Development, QA, and Production Support teams to communicate, verify, and test the desired functionality changes.Work with the clients to demonstrate the changes to the system to ensure all relevant business needs are addressed.Develop training materials and provide training in one-on-one or classroom environment.Manage multiple competing priorities through effective organization and communication.

Required Skills and Experience:
Must have solid ""hands-on” experience with User Stories and know the progression in building User Stories with the customer and their workflows.Bachelor's Degree or higher in technology-related field or relevant experience in implementing software in the Health industry AND;5 or more years of experience as an Analyst.Strong Microsoft Visio skills.Understanding of business analysis principles, processes, techniques, and workflows.Ability to develop and prepare use cases, functional specifications, and technical requirements.Ability to understand and represent the needs of the end user in a software development environment.Strong Microsoft Office skills (Word, Excel, PowerPoint).Excellent written and verbal communications.Strong consultative and advisory skills.

Location: Columbia, MD, Full time position with full company benefits. Salary: $45,324 - $110,770

NOTICE: EO/AA/VEVRAA/Disabled Employer – Federal Contractor. FEi Systems participates in E-Verify, a federal program that enables employers to verify the identity and employment eligibility of all persons hired to work in the United States by providing the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee's Form I-9 to confirm work authorization. For more information on E-Verify, please contact DHS at (888) 464-4218.

Applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, marital status, political affiliation, disability, or genetic information, except where it relates to a bona fide occupational qualification or requirement."
148,"ContractBased in Washington, DC, MPS is an SBA-certified HUBZone Small Business, dedicated to empowering our clients through innovative change management services, with a focus on organizational effectiveness. Our consultants have served executives in the federal sector for over a decade, working on several high-profile initiatives. We pride ourselves on being experienced consultants, trusted advisers, and reliable partners. As a designated Employer of National Service, our core value is a commitment to public service.

Junior Business Analyst

M Powered Strategies is seeking a Business Process Analyst for one of its client contracts within the federal government. In this role, the candidate will be responsible for supporting a large team throughout an on-going software development life cycle, helping the client to be better able to serve their customer base through strategic planning, process mapping and improvement, documentation, organization, focus, and a long attention span. This position will report directly to the contract Engagement Manager and will be expected to be proactive, high-performing, and client-focused at all times. This position will work on client-site and MPS Headquarters in Washington, DC.

General Requirements

Must have a minimum of Bachelor’s Degree and 2 to 4 years of experience in a professional work setting
Background or interest in IT systems from a technical and management perspective
Ability to learn quickly and work independently and with teams in both client and virtual environments
Ability to apply sound business principles within a complex IT stakeholder environment
Outgoing, confident, patient, and has a strong virtual and in-person presence/professional tone of voice to fit the role of a facilitator and provide oral reports to senior leadership
Experience in facilitating, including managing stakeholders, supporting effective collaboration, communicating requirements, managing logistics, and providing comprehensive documentation
Comfortable with complexity and critical thinking while guiding stakeholders/workgroups to achieve their objectives
Good communication and relationship skills with the ability to work with several different personality types, engage teams and clients, and build rapport in person and virtually
Organized, process-oriented individual with the ability to work independently, guide/track actions of a small team, and balance multiple priorities and roles
Proactive, responsive, and easily adaptable with an ability to step in and support others’ work with little direction
Ability to create concise, clear, and compelling briefing materials and polished deliverables within tight timelines and for multiple audiences
Must Haves – Role Specific

Ability to support stakeholder engagement and effectively interface between multiple stakeholder groups to ensure all parties have common understanding of the requirements
Ability to analyze validate, specify, and verify requirements, as well as current and future state operations
Ability to be a quick and self-driven learner, able to ask thoughtful questions to learn how to perform rapidly
Ability to support client initiatives while simultaneously consulting to potential alternatives, as appropriate
Strong level of comfort with uncertainty, lack of instructions or direction, etc.
Ability to collaborate with team members and clients to identify a clear path to proceed
Strong communication and relationship skills with the ability to work with several different personality types and build rapport both virtually and in-person
Strong ability to use Excel - processing large quantities of data, using pivot tables, using conditional formatting, applying business rules, modeling, etc.
High level of emotional self and other awareness, able to identify and act upon situations where colleagues need help, etc.
Nice to Haves

Prior or current experience with the Federal Government
Familiarity with Tableau software use and application
Familiarity with Microsoft Visio use and application
Experience using mid-level to advanced formatting abilities in Microsoft Word
MPS does not discriminate on the basis of race, color, religion (creed), gender, gender identity or expression, age, national origin (ancestry), disability, marital status, sexual orientation, or military status in any of its business activities including recruiting and selection. We are committed to providing a diverse, inclusive and welcoming environment for employees, volunteers, subcontractors, vendors, and clients."
149,"$11 an hourPart-timeJob Summary: We are seeking detail oriented individuals who will compare retailer pricing on websites across the US and Canada. By noting the details of brands, sizes, and other defining traits, these Business Analysts will serve as the first instance of data collection and sorting for our clients.Job Duties: Conduct research on consumer products in order to compare and contrast pricing differences between different retailersDecipher cryptic product descriptions to make appropriate matches between productsResponsible for creating and improving upon internal processesJob Requirements: Excellent written and verbal communication skills;Must be detail-oriented and reliable;Must be a fast-thinker;Committed, honest, and follow instructions.Job Type: Part-time, onsiteSalary: Local min. wage/hour (growth opportunities available)Job Hours: Monday- Friday, between the hours of 8:00 a.m. and 5:00 p.m.Hours a week: 20-30 consistent hours per weekStart Date: ASAPJob Type: Part-timeSalary: $11.00 /hourExperience:Retail: 1 year (Preferred)Location:Davis, CA (Preferred)Work authorization:United States (Required)"
150,"We are currently seeking a Senior Business Analyst to be based at our worldwide headquarters in Madison, NJ.

We are building digital platforms to serve agents. As a Senior Business Analyst, you will work to build the next generation of robust platforms that lay the foundation for our agent and broker product lines. As a member of the Brand Digital Marketing team the Senior Analyst will be responsible for one or more business products as well as the direction of the other business analysts.


The Senior Business Analyst responsible for assisting developing solutions that support business ideas and product concepts through gathering and translating testable requirements into application software solutions. They must be a critical thinker capable of contributing independently, mentoring business analysts, and collaborating to drive sound solutions with a diverse team including product managers, software developers, testers, project managers, and teams across the organization. They will serve as a liaison between the customer/business community and the software development team, working with them to obtain requirements through various avenues both Agile and Waterfall using interviews, document analysis, surveys, site visits, business process descriptions, workflow analysis and use cases etc. They will need to effectively evaluate information from multiple sources to develop an understanding of the business requests and needs and translate them. They will need to leverage excellent verbal and written communication skills and the ability to mentor, coach, lead as well as direct the work of others.


Responsibilities:

Assist business analyst team members
Maintain standard processes, templates, workflows and procedures
Conduct interviews, requirements workshops with a cross-discipline team to elicit understanding of business needs
Collaborate with key stakeholders to help design and drive the functional definition of a solution that meets the program level objectives and vision
Write unambiguous, testable requirements with clear acceptance criteria; an integrated scrum team member to assure requirements are understood fully; & define non-functional requirements
Work with Product owners/Product Management to write business cases and acceptance criteria
Assist team to troubleshoot issues; evaluate existing application products which could address client requirements and develops recommendations where appropriate

Requirements:


Bachelor's degree; advanced degree, Computer Science, Information Technology, Science or equivalent work experience
5 - 7+ years of experience in Business Analysis
Proven experience in eliciting requirements, creating user stories, test cases, and wireframes
Experienced in analyzing data to draw business-relevant conclusions using data visualization techniques and tools. Documenting systems design, creating specifications, flow charts, and other related diagrams based on user or system design specifications.
 Advanced knowledge in generating process documentation
Excellent verbal, communication, presentation, and interpersonal skills; is a team player.
Very strong written skills showing the ability to convey details accurately in a well-structured and precise manner that describe end user problems and solutions.
Solid experience in and understanding of Scrum Agile development or Scaled Agile Framework, Waterfall, and SDLC processes
 JIRA knowledge desired.
Proven problem-solving skills, is logical and analytical.
Experience in working with distributed, offshore teams.
Experience in managing and mentoring team
Preferred CBAP (Certified Business Analyst Professional) or PMI-PBA (PMI Professional in Business Analysis)
Preferred previous experience in Adobe Experience Manager (AEM) and Content Management System (CMS)
#LI-CH1
HTF1
Employment type
Full-time
Company
Realogy Franchise Group LLC
About us
The Realogy Franchise Group is the largest franchisor of residential and commercial real estate brokerage offices in the world. Its brands include the Better Homes and Gardens® Real Estate, CENTURY 21®, Coldwell Banker®, Coldwell Banker Commercial®, ERA® and Sotheby’s International Realty, which combined have over 14,800 franchised and company-owned offices and approximately 289,000 affiliated brokers and independent sales associates in 117 countries and territories worldwide®; as well as ZapLabs LLC, an innovation and technology development subsidiary.

EEO statement
EOE AA M/F/Vet/Disability"
151,"ContractAllscripts Business AnalystDallas, TXWe are Excite Health Partners. We believe in being the best we can be and having fun while doing it. We provide our consultants, across the United States, with the absolute best HIT opportunities and in return our clients exceptional services.We are an EMR focused company- we strive to help healthcare organization provide the best experience for users and patients alike. We do this by hiring the best HIT professionals to build, analyze, test, train users on and secure technologies that allow providers to store, share and examine health information. Our HIT professionals are a part of something bigger than themselves; they are a driving force allowing hospitals and health systems to meet their goals for security, meaningful use, interoperability, value-based care and more.QualificationsAt Excite, we want you to succeed. We want to help you reach your goals and find a satisfying and challenging work environment. For the Allscripts Business Analyst position, you should meet the following criteria:Must have experience in a Healthcare settingMust have clinical applications experienceMust have EHR or Practice Management experienceStrong IT backgroundStrong communication, organizational and leadership skillsBachelor’s Degree or related field experienceJoining the TeamWe are committed to you. To your success, to your career and to you being part of an enthusiastic team. We are proud to offer:Competitive compensationHealth, Vision, Dental plan401k plan with designated company matchWeekly payDirect depositEasy travel and reimbursementJob Type: Contract"
152,"ContractResponsibilities and DutiesJob Title:  WMS – Business AnalystLocation:  Alpharetta, GAPosition Type:  Contract positionResponsibilities: Essential Functions:Facilitate requirements gathering sessions for moderately complex requests, accurately capturing client needs.Create requirements definition documentation and functional specifications to capture business needs using emerging understanding of business processes. Validates with the customer and shares with project stakeholders.Validate and obtains sign-off for functional requirements/specifications and tracks changes to requirements.Track progress of plans. Identifies and escalates deviations from requirements.Review test plans and scripts for completeness and accuracy.Perform implementation support.Help in formulating a business vision for project stakeholders.Ensure that all analyses carried out by his/her team are well documented as well as archived.Find solutions to challenges coupled with a willingness to do what is necessary in order to ensure timelines and make sure that goals are met.Regular, dependable attendance & punctuality.Education/QualificationsBachelor's degree preferred and 5+ years of related experience or an equivalent combination of education and experience.Strongly prefer a domain combination of one or more of these areas: Logistics, Supply Chain, Retail, Omni-Channel fulfilmentStrongly prefer packaged software experience in WMS and/or Order Management from vendors such as Manhattan Associates, Sterling, JDA, etc.Demonstrate experience with Agile software development methodologies, creation of user stories, backlog grooming and strategy to determineDemonstrate experience leading full lifecycle software development in medium to large size enterpriseIf you believe you are qualified for this position and are currently in the job market or interested in making a change, please give me a call at 201-484-0331.Job Type: Contract"
