,location,text
23,United States,"InternshipJob Description
This position is to be used strictly for the conversion of current IBM Data Science interns. Please do not apply to this role if you are not a current IBM intern.
At IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to grow your career!

Entry-Level Data Scientists extract knowledge or insights from structured or unstructured data. They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various statistical methods in order to solve large scale optimization problems and to understand the meaning behind vast data sets.

Entry-Level Data Scientists are in demand across IBM's growth areas. You'll be matched and deployed to a team in a strategic business, based on your offered location and fit.

What You’ll Do:
You will implement and validate predictive models, and create and maintain statistical models with a focus on big data.You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.You will use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.

Who You Are:
You are great at solving problems; debugging; troubleshooting; and designing & implementing solutions to complex technical issues.You thrive on teamwork and have excellent verbal and written communication skills.You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.You have a basic understanding of statistical programming in a language such as R, SAS, or Python.You have an interest in, understanding of, or experience with Design Thinking MethodologyYou have an interest in, understanding of, or experience with Agile development methodology



Required Technical and Professional Expertise

Must have basic knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.

Preferred Tech and Prof Experience

minimum 1 year job related experience including academic, post-academic and internships

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
24,"Seattle, WA","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Facebook runs one of the most advanced and innovative operations on the planet. We are looking for a self-motivated individual to apply data analysis techniques to help make better decisions and solve hard problems. The person will work on diverse issues such as financial modeling of alternative technologies, product diffusion, forecasting, optimization, performance measurement, pricing and other ad hoc data driven analyses. This position can be based in Menlo Park, CA, or Seattle, WA.
RESPONSIBILITIES

Comfortable building simple models and data manipulation, dealing with datasets, graphing plots, and deriving conclusions from data

Must like technology and be willing to learn about the next generation hardware and software technologies
MINIMUM QUALIFICATIONS

Knowledge in SQL and at least one programming language (PHP, Python, Perl, C, C++, Java)

Knowledge of statistics and optimization techniques

Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation)

Experience with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2

Communication experience

Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
PREFERRED QUALIFICATIONS

A BS, MS or PhD degree in Computer Science, Engineering, Statistics, Economics, Social Science, Mathematics, or Interdisciplinary programs including the above disciplines."
25,"Santa Clara Valley, CA","Be part of the engineering team creating next-generation health sensors. The Human Interface Devices team is looking for a Data Scientist with working knowledge of statistical signal processing, pattern recognition, and machine learning along with strong programming skills.

Key Qualifications
4+ years of experience in machine learning algorithm development
Experience with state-of-the-art machine learning tools and techniques
Strong background in experimental design and statistical analysis
Familiarity with algorithm implementation in C/C++
Description
This is a key position that is a focal point for building next generation features based on sensor data. This engineer will be responsible for developing and tuning algorithms for extracting insight from sensor data and optimizing performance across a large user base via analysis or automated learning. These are key development efforts that feed into future products.
Additional responsibilities include:
Experiment design and data analysis
Prototyping concepts, evaluating user impact, and delivering products

Education
PhD in BME/CS/CE/EECS/Math/Physics or equivalent experience
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
26,"Fort Bragg, NC 28307","Job Description:
Knowesis is looking for personnel to support the United States Special Operations Command Preservation of the Force and Family (USSOCOM POTFF) program in identifying and implementing innovative, valuable solutions across the Special Operations Forces (SOF) enterprise aimed at improving the short and long-term well-being of SOF warriors and their families.
*This position is contingent upon contract award.*
Operating in consultation with POTFF program staff and the Government’s POTFF biostatistician, the Data Scientist will:
Enter, clean, and conduct basic data manipulation and analysis
Build and disseminate databases and spreadsheets designed to record POTFF related programmatic data
Provide consultation and assistance to supported units and POTFF staff to identify opportunities and methods for capturing data relating to POTFF programs and initiatives
Prepare reports and presentations that accurately convey data trends and associated analysis
Enter and analyze data within government systems
Required Experience:
Possess an active DoD Secret Security Clearance
Bachelor’s Degree in quantitative science, social science or related discipline
Proficient with the suite of Microsoft Office programs, including Word, Excel and Access
Prior experience using statistical software application such as SPSS, SAS, and R
Possess excellent communication skills and shall be highly detail oriented and

Benefits
About Knowesis
Founded in 2007, Knowesis Inc. has been providing data driven decisions and solutions to federal healthcare clients from day one. Our core capabilities include analytics and information management, planning and operations, and communication and engagement strategies. Knowesis’ highly qualified, customer-focused professionals are committed to providing information and advice to enable client success through holistic, thorough, thoughtful, and aligned approaches. Our clients leverage these capabilities to support data driven decisions for their key business functions. Knowesis is dedicated to earning the loyalty of clients and staff through work ethic, collaboration, and humility. Our intent is to be a positive impact to our clients, team, and community.

Knowesis is Service Disabled Veteran Owned (SDVO) (CVE certified) and Small Disadvantaged Business (SBA certified 8a) with offices in San Antonio, Texas and Fairfax, Virginia. We offer a highly competitive compensation and benefits package inclusive of medical, dental, and paid time off.
For more information about working with Knowesis, please visit our website at http://www.knowesis-inc.com.

Knowesis is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. Knowesis will consider all qualified applicants for employment without regard to race, color, religious creed, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, Knowesis will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

Keyword: Data Scientist
From: Knowesis Inc."
27,"Mountain View, CA 94043","Company Overview
RSi is a leading provider of retail data science based analytics and a big data management platform which helps top retailers and CGP companies manage their supply chain and marketing initiatives to drive sales results. Using machine learning, streaming analytics and predictive models, we are the go-to cloud based; peta-scale SaaS data management platform in the retail space. Join our team as a Data Scientist and join a global innovative technology leader headquartered in Silicon Valley.
Job Summary
The Data Scientist will drive and participate in the design and implementation of algorithms working with the retail and supply chain data. This needs knowledge of statistical modeling, data mining, and machine learning concepts, and includes understanding business requirements, conducting advanced data analysis, designing algorithms, providing algorithm specifications and also the corresponding tweaking/tuning guidelines.
The Data Scientist is responsible for helping on defining and performing advanced analyses against large and varying data sets related to retail sales and operations in support of various Retail Solutions’ customer driven solution creation. The objective of these analyses will be to answer important business questions and should result in input parameters and/or new algorithms to be leveraged in highly-sophisticated analytic applications. This individual will work closely with a team of product manager, R&D, and software engineers to provide the solution.
RSi is growing rapidly, and the work atmosphere is team-oriented and knowledge-intensive: motivated professionals are highly appreciated.
Responsibilities and Duties
Analyze the various data sets, based on the business goal, find the characteristics of the data and create proper advanced models for them.
Develop and implement algorithms to solve business problems.
Tweaking/tuning the model for better accuracy, performance, etc.
Qualifications and Skills
Master Degree or higher in Statistics with courses completed on the Machine Learning, Statistics, Prediction algorithms and/or related areas.
2+ years of Working experiences on industrial analytical areas especially big data analytics (Statistical Modeling, Machine Learning and Predictive Analysis).
Knowledge and experiences in the supply chain area is very preferred.
Having knowledge on the Statistics, Predictive Analysis and Modeling, Machine Learning and/or related areas, and having projected completed on those areas.
Familiar with R programming, can use R to create analysis programs using linear regression, pattern recognition, machine learning methods.
Having basic SQL knowledge and skills, can write SQL queries for retrieving the data from the data repository DB.
Having data visualization and representation skills.
Experience developing data-driven analytical models of various operations / policies.
Fluent oral and written communication skills in English.
A team-worker, willing to work with colleagues.
ABOUT RETAIL SOLUTIONS, INC.:
Retail Solutions, Inc. (""RSi"") develops and delivers a comprehensive suite of award-winning software-as-a-service (SaaS) solutions that turn Retailer “downstream data”, such as point-of-sale (POS), supply chain, merchandiser feedback and category data, into actionable visibility into the store and onto the shelf for their suppliers.
RSi, the largest and fastest-growing company in the Retail Execution Management field, has more experience with processing customer-specific retailer data than any other company. Retailers and consumer product goods (CPG) companies trust Retail Solutions to grow sales, reduce out-of-stocks, improve promotion execution and effectiveness, maximize retail operation productivity and foster collaborative relationships in the retail industry to improve product availability for the end-consumer.
RSi serves more than 500 CPG Companies, including 23 of the top 25 global consumer goods companies, and processes data from more than 175 leading retailers in the Americas and Europe.
Retail Solutions, Inc. is headquartered in Mountain View, CA and has offices in Providence, RI, Bentonville, AR, Minneapolis, MN, Chicago, IL, Brentford, UK, Paris, France, Munich, Germany, Pune, India, and Shanghai, China. RSi is an equal opportunity employer."
28,"Santa Monica, CA","Job Description
Data Scientist Role

Want to shape the future of television through data science? We’ve got the shows people love to watch (The Man in the High Castle, Bosh, Catastrophe) and the Golden Globes loves to honor (Transparent, The Marvelous Mrs. Maisel, Goliath) and even an Oscar winning film (Manchester By the Sea). You’ve got the skills to unlock the patterns behind how people consume that content and ways the marketing, scheduling and show development can be optimized.

We are looking for a customer-focused, solutions-oriented Research Scientist for our Amazon Studio Research team. The department is growing to provide more insights about our viewers and provide analytical solutions for the acquisition and retention of customers, revenue enhancement, and the delivery of a compelling consumer experience.


The goal of the role is to use the most effective data modeling techniques to discover the kinds of shows people want to see, the marketing that drives them to action, the scheduling and pacing of our releases, and the attribution models that make it all work. The data tools you build and the models you create will help drive and define the future of television for millions of customers.

Responsibilities include:
Demonstrate thorough technical knowledge on Statistical modeling, Probability and Decision theory, Operations Research techniques, and other quantitative modeling techniques.Understand the business reality behind large sets of data and develop meaningful solutions comprising of analytics as well as marketing management.Work closely with internal stakeholders like the creative development executives, the business affairs team, the marketing group, and the program planners.Innovate by adapting new modeling techniques and procedures.



Basic Qualifications
Professional working experience using data modeling in customer facing and data centric companies.
Comfortable with open-ended problems. Be able to frame your own hypothesis and meaningful metrics.
Programming, prototyping, scripting and visualization skills (Oracle, SQL, SAS, R, Weka, Python, Java).
Excellent written communication and presentation skills.

Preferred Qualifications
A PhD or Master’s Degree in mathematics, information science, engineering, statistics, or a highly quantitative field.
Experience working with various data source: relational/non-relational database, APIs and Web scraping.
Experience with cloud computing (EMR, S3, EC2, Redshift) and big data tools (Hadoop, HDFS, Hive/Pig, Spark).
Understanding of the principles and limitations of various statistic and machine learning models.
Engineering skills such as linux, version control and code reviews.


Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
29,"Greensboro, NC 27497","$92,000 - $117,000 a year (Indeed Est.) Ecolab’s QSR division is seeking a business focused RD&E Data Scientist to unlock the value in data assets while creating new and unique offerings for customers in the quick serve market. In this role, you will work with the business innovation teams, marketing, sales and customer’s along with expertise from Ecolab’s Center for Advanced Analytics, to help develop the data strategy and advanced analytics pipeline for the QSR business.

What you will do:
Actively engage with internal business teams to understand QSR challenges and deliver robust, data driven solutions.
Work alongside global counterparts to solve data-intensive problems using standard analytical frameworks and tools.
Be encouraged and expected to innovate and be creative in your data analysis, problem solving and presentation of solutions.
Network and collaborate with a broad range of internal business units to define and deliver joint solutions.
Work alongside QSR customers to leverage cutting edge technology (machine learning, streaming analytics and ‘real’ big data) to creatively solve problems and disrupt existing business models.

In this role, we are looking for:
A problem-solving mindset with the ability to understand business challenges and how to apply your analytics expertise to solve them.
The unique person who can present complex mathematical solutions in a simple manner that most will understand including customers.
An individual excited by innovation and new technology and eager to finds ways to employ these innovations in practice.
A team mentality, empowered by the ability to work with a diverse set of individuals.

Minimum Qualifications:
A Bachelor’s degree in Data Science, Math, Statistics, Computer Science or related field with an emphasis on analytics.
6+ Years professional experience in a data scientist/analyst role
Proficiency in your statistics/analytics/visualization tool of choice, but preferably in the Microsoft Azure Suite, including Azure ML Studio and PowerBI as well as R, Python, SQL.

Preferred Qualifications
Excellent communication, organizational transformation, and leadership skills
Demonstrated excellence in Data Science, Business Analytics and Engineering"
30,"Santa Barbara, CA 93101","Job Description

Invoca is seeking an Associate Data Scientist to capitalize on the rich unstructured data set collected by our platform, including 100s of millions of phone conversations per year. You will develop, update, and maintain AI models which help our customers understand what transpires on their phone calls. Your role is part research: learning, reading papers, and working with our data science team to develop elite models for call analytics, part maintenance: making sure our models perform as well as they can, and part fielding customer requests: investigating problems when they arise and identifying new techniques to alleviate pain points in our customers' businesses.
Essential Functions:
Analyze data sets across industries, seasons, and other boundaries
Recommend machine learning algorithms including feature extraction
Work with the engineering team to regularly deploy models to production
Team and Technical ownership of Data Sciences
Publish and present Invoca’s Data Science technologies at technical conferences Qualifications

Bachelor’s or Master’s in statistics, natural or social sciences, applied mathematics or computer science, or relevant experience in data science techniques (data collection, data cleaning, model building, model validation etc).
Working knowledge of Python and related tools such as Jupyter notebooks
Modeling and data analysis using machine learning models, classical statistics, or other techniques
An intense curiosity and a drive to optimize the AI experience for our existing customers and to discover new patterns in our data.
Additional Information

Invoca Offers:
Competitive salary
Stock options in a fast-growing company
Excellent medical benefits and paid time off
401K plan with company matching
Phenomenal co-workers and the best work environment in Santa Barbara
To all recruitment agencies not contractually engaged with Invoca: Invoca does not accept agency resumes. Please do not forward resumes to our jobs alias, Invoca employees or any other company location. Invoca is not responsible for any fees related to unsolicited resumes."
31,"Arlington, VA 22203 (Bluemont area)","Duties
The duties of this position shall include, but are not necessarily limited to (and not listed in priority order):
Reports to the Info Sciences and Analytics Division DirectorSupports analytics development tasks as assignedSupports custom tool developmentMaintains and develops existing R and Python codeSupports innovation and marketing projects as assigned
Required Education, Certifications, Skills, Capabilities:
Bachelor’s degree in computer science or related technical fieldExperience programming in R and PythonExperience with version control (Github)Experience with virtual machines and DockerDemonstrated ability to work as a team contributor with a mission focus and emphasis on service, integrity, and excellenceAttention to detailDemonstrated ability to work as a team contributor with a mission focus and emphasis on service, integrity, and excellence
Desired Education, Certifications, Skills, Capabilities:
Experience developing web applications with R ShinyVisualization experienceExperience with data modeling and forecastingRecord of innovative and creative problem solvingExcellent verbal and written communication skills desired
Primary Work Location: Arlington, Virginia – this position does not qualify for long-term mobile/remote work or telework.
Special Work Conditions: Possible travel to other CONUS locations. May require work outside of corporate core business hours.
Security: U.S. citizenship required. Must have the ability to obtain a US secret security clearance if not currently cleared.
Virginia Tech Applied Research Corporation is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, military status, gender, religion, age, or disability.
Virginia Tech Applied Research Corporation:
The Virginia Tech Applied Research Corporation (VT-ARC) complements the broad and rich research enterprise found at Virginia Tech. VT-ARC forms multi-disciplinary teams to apply innovative solutions to the real-world problems that strain our social, political, industrial, and economic foundations. Specializing in the identification and use of fundamental research, VT-ARC performs contract R&D on larger scale problems and at technology readiness levels beyond those generally addressed by academia. VT-ARC combines significant technical expertise with program management skills to deliver robust solutions on schedule and on budget.

Apply for this Position
Important notice:
To be considered for this position, applicants are required to upload a resume and cover letter (a single document is preferred). Please complete the application process by completing the web form below and follow the upload instructions that follow."
32,"Wilson, NC","The Associate Scientist Data Reviewer is responsible for the review of all test results and supporting laboratory data associated with raw materials, in-process materials and final product for microbial assessment according to cGMP and company specifications.

Responsibilities
PRINCIPAL ACTIVITIES PERFORMED BY THE INCUMBENT
Review laboratory raw data to assure that all procedures were adhered to during test execution.
Review associated equipment print outs, pH checks, autoclave records etc.
Review all supporting logbooks associated with product testing (i.e. Growth promotion testing).
Communicate with QA manufacturing regarding batch release timelines.
Review weekly water release reports in a timely manner to ensure continuous compliance of the system.
Remain current on all microbiological methods carried out in the Microbiology department.
Facilitate data or documentation corrections with analysts to ensure all records are complete
and appropriate references are made.
Follow up on corrections in a timely manner so as not to impact batch release.
Promptly notify Microbiology Supervisor/Manager of all microbial data deviations or any deviations from company procedures that may affect product quality or cGMP status according to established procedures.
Participate in lab investigations with supervisor as required.
Review test methods, SOPs, training modules.
Ensure documentation systems are accurate and up to date.
Assist in gathering data to identify root causes and implement corrective action plans within the laboratory.
Ensure investigations are completed and referenced for data or documentation, as appropriate, prior to release of Microbiological data.
Perform additional duties as required and assigned.
Maintains compliance with company policies, training requirements, cGMPs and safety standards.
Requirements
BS/BA degree in Science or related field with 1-2 years of progressive pharmaceutical lab experience or equivalent education and experience.
Strong understanding of cGMPs and GLPs
Excellent working knowledge of microbial tests
Very good understanding of regulatory guidance documents and compendia test requirements (i.e. USP and EP).
Excellent verbal and written communication skills are essential.
Strong attention to detail, people skills and ability to multi-task are essential for success.
IND-1

#GD

Additional Information
We offer an excellent salary and benefits package including medical, dental and vision coverage, as well as life insurance, disability, and 401K with company match.

Fresenius Kabi is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disabilities, or protected veteran status."
33,"Beverly Hills, CA 90211","$80,000 - $100,000 a yearCompanyRouse Services (http://www.rouseservices.com) is the leader in construction equipment appraisals, used equipment sales support and fleet management analytics, specializing in the rental sector. Rouse has been serving clients in the equipment appraisal, auction, and liquidation industry for nearly 100 years. We annually appraise approximately $40 billion of equipment for the largest rental companies and construction equipment dealers in North America and Europe. We support equipment owners in their efforts to sell used equipment through the retail channel. We provide benchmarking services on rental rates, utilization, and other metrics for more than 125 rental clients.PositionRouse Services collects construction equipment data from owners, renters, manufacturers, and auction companies around the world. We standardize this data as part of a data ingest process and then feed the data into our proprietary construction equipment valuation model. This entails establishing a replacement cost, recovery value, and adjustments for attributes specific to each machine.The Data Scientist will be charged with advancing Rouse’s proprietary valuation model. This will include expanding on efforts to automate the current process and developing checks to audit potential risk areas. The Data Scientist will be charged with developing and assessing the effectiveness of different mathematical approaches. The Data Scientist will work closely with the Rouse technology team to build the next generation of systems Rouse will use to value construction equipment.QualificationsRequired experience:Degree in mathematics, statistics, or related field3+ years of practical experienceExcellent Microsoft Excel and SQL skillsExcellent problem solving and analysis abilityTrack record of using data to drive changesPreferred experience:ETL, data processing, data architecture, and/or database programmingStatistical analyses such as regression, t/z tests, etcWorking with technology team and software product developmentSoftware: R, Python, Access, etcNotesCandidates should be currently located in the greater Los Angeles area and must be legally authorized to work in the United StatesJob Type: Full-timeSalary: $80,000.00 to $100,000.00 /yearEducation:Bachelor's (Required)Language:English (Required)Work authorization:United States (Required)"
34,"Bellefonte, PA 16823","Job Field: REDE - Research & Development
Location: Bellefonte, PA, US
Company: BASF Corporation
Job Type: Standard
Job ID: EN_US_1803972

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, age, citizenship, color, religion, sex, marital status, national origin, disability status, gender identity or expression, protected veteran status, or any other characteristic protected by law.
Description
At BASF, we create chemistry through the power of connected minds. By balancing economic success with environmental protection and social responsibility, we are building a more sustainable future through chemistry. As the world’s leading chemical company, we help our customers in nearly every industry meet the current and future needs of society through science and innovation. We achieve this through our commitment to continuous improvement and operational excellence, which gives us the opportunity to set and deliver on ambitious, long-term goals.


We provide a challenging and rewarding work environment with a strong emphasis on process safety, as well as the safety of our employees and the communities we operate in, and are always working to form the best team—especially from within, through an emphasis on lifelong learning and development. This allows for our employees to innovate and generate new ideas, put them into action, and gain insights from them to further advance our collective expertise.

And we are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Employers in 2017. We strongly support the spirit of collaboration through effectively involving team members and colleagues from other relevant units when developing and executing strategies and projects. Come join us on our journey to create solutions for a sustainable future!

Where the Chemistry Happens…


We are currently seeking a Weather Modeling and Data Scientist to join our team. The selected individual will use and apply spatio-temporal statistics, machine learning, mechanistic modeling and other approaches to continuously improve our weather and agricultural models. The Weather Modeling and Data Scientist serves as an expert on physical models, and their output data, for use in agricultural applications. He or she will interface with the company’s weather analytics and agricultural modeling teams. Position seniority and compensation will depend on the level of a candidate’s expertise and experience. The position will require occasional short-term travels in the United States and internationally.

About ZedX

ZedX Inc., now part of BASF group, has been a leader in the development of information technology (IT) products and services for the agriculture sector since 1987. ZedX is known for its innovation and custom solutions for growers, consultants, universities, government and industry. It is globally recognized for its integration of weather, plant, pest, and management models in support of agricultural decisions. ZedX has stayed true to its mission for thirty years to build advanced knowledge systems and IT tools to ensure abundant food and a healthy environment for a growing population, and to support the foundations of sustainability.

About BASF


At BASF, we create chemistry for a sustainable future. We combine economic success with environmental protection and social responsibility. The approximately 114,000 employees in the BASF Group work on contributing to the success of our customers in nearly all sectors and almost every country in the world. Our portfolio is organized into five segments: Chemicals, Performance Products, Functional Materials & Solutions, Agricultural Solutions and Oil & Gas. BASF generated sales of about €58 billion in 2016. BASF shares are traded on the stock exchanges in Frankfurt (BAS), London (BFA) and Zurich (BAS). Further information at www.basf.com.


ZedX – Weather Data Scientist (1803972) – Bellefonte, PA

Formula for Success: You Will…

You will use your advanced degree (MS) in Atmospheric Science, Meteorology, Oceanography, Engineering or related physical sciences. BS degree with sufficient background and qualifications will be considered.

Use your 3+ years of experience operating, evaluating, and/or developing physical numerical models for the atmosphere, ocean, or other disciplines

Use your 3+ years of experience using advanced statistical analysis techniques to improve, compare, and validate output data from physical numerical models

Use your 3+ years of using big data and cloud computing solutions to manipulate large spatial gridded data in the most efficient manner

Experience with regional and/or global numerical weather prediction models (WRF, HRRR, NAM, GFS, ECMWF, etc.) for research and/or operational applications

Fluent in at least one programing language appropriate to the needs of the weather department, e.g., C, C++ , Python, FORTRAN, Perl, or shell scripting

Strong working knowledge and experience using R, SAS, MATLAB, or similar packages for statistical analysis

Ability to write well-structured, easily maintainable, and well-documented code that executes very efficiently as part of overall data processing optimization

A drive to solve problems, meet deadlines, and build whatever is necessary along the way

Familiarity with observational and model data quality control, analysis, interpretation, integration, and visualization using various tools and methods

For further information on Agricultural Products with BASF, please select:

BASF: Create Chemistry with the Agricultural Products Division

Create Your Own Chemistry: What We Offer You…

Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry.

The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career.

BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job.
Qualifications - BASF recognizes institutions of Higher Education which are accredited by the Council for Higher Education Accreditation or equivalent"
35,"Holmdel, NJ","Vydia is looking for a data scientist who thinks in data and loves time series. At Vydia, you would be using your skills and experience to take an exponentially growing data set and extract insights from it.VydiaVydia's product centralized solution for video creators to manage their content. First offering music video distribution services, the Vydia platform has now expanded to offer a full arsenal of tools that creators utilize to power their video content strategy.Work Environment and CultureWe are a startup and our environment is fast-paced, but very friendly and highly inclusive and diverse.As part of the data science team, you will be sitting alongside both tech and business. Your results can just as likely be used by our CEO or become a key component of our customers' experience. This also means that you will have an ample amount of support from the many areas of the company. Our goal is for employees to be successful and fulfilled.You will be working at our HQ in Bell Works, in Holmdel NJ. A modern redevelopment of a former Bell Labs building. (Bell Labs was the birthplace of Unix, C, C++ and S, the original version of R. Almost a dozen Nobel Laureates graced these halls). You will also be part of a modern wave of tech and data science in New Jersey.Job Responsibilities will includeProduce new predictive data models using our ever-growing time series dataHelp customers identify areas of improvement for greater successHelp to differentiate the rising starsIdentify new trends and opportunitiesQualificationsWe are looking for someone with a PhD in a data-intensive field.Physics, Computational Chemistry, Social SciencesFlexibility and adaptability when it comes to the programming side; quick to pick up any new necessary skills that you might not already possess.Applying for the JobWhile not required, you are encouraged to include examples of concrete work as well as papers.Tools & LanguagesYou'll notice we did not include specific tools or languages in the qualifications. This is because fundamentally, we expect that you will use whatever tool is best for the job while allowing you to work most quickly. Our current data science work is in R, and our devs work mostly in Ruby. We have built a strong framework to integrate our data science work with our product. Our data resides in Postgres and Redshift. We use AWS extensively.However, if none of these are familiar to you, but you otherwise know your stuff, apply anyway. The tools are easy to learn. We want your math.About Vydia: Vydia is an Inc. 500 company revolutionizing the entertainment industry with cutting-edge technology that empowers creators to efficiently manage their content, digital rights, analytics and earnings from one centralized platform. Utilized by over 200,000 musicians, influencers, and brands worldwide the platform offers an array of monetization and distribution services that connect creators to the world’s leading video and audio destinations. Voted one of NJ’s Best Places to Work for the past two years, Vydia is committed to cultivating a collaborative, tight-knit culture that stimulates employee growth and places heavy emphasis on employee wellness. If you would like to join this award-winning team, please visit: https://vydia.com/about/careers/.Reasons to work with us: As an Inc 500 Fastest Growing Company in America Vydia offers huge opportunities to grow with the company.Vydia was named a Best Place to Work in NJ by NJBIZ in 2017 due to its collaborative, fast-paced, and fun, thriving environmentFull medical/dental/vision packageGenerous vacation policy; work hard and take time when you need itTeam breakfast every Monday and a well-stocked kitchen full of snacksAn on-site gym facility and team yoga on ThursdaysOpen, creative workspace located inside the historic site of NJ innovation, Bell WorksLeadership identified as the 2017 Tech Innovator of the year and highlighted by Entrepreneur Magazine as builder of one of the most Entrepreneurial companies in America.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Job Type: Full-timeExperience:Statistical Analysis: 2 years (Preferred)Data Science: 5 years (Required)Education:Bachelor's (Required)Location:Holmdel, NJ (Preferred)Work authorization:United States (Preferred)"
